Application,Proceeding,ProceedingDocuments,ProceedingHome
28916-A001,28916,https://www2.auc.ab.ca/Proceeding28916/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28916/SitePages/ManageApplications.aspx?AppNumber=28916-A001
28915-A001,28915,https://www2.auc.ab.ca/Proceeding28915/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28915/SitePages/ManageApplications.aspx?AppNumber=28915-A001
28914-A001,28914,https://www2.auc.ab.ca/Proceeding28914/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28914/SitePages/ManageApplications.aspx?AppNumber=28914-A001
28895-A001,28895,https://www2.auc.ab.ca/Proceeding28895/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28895/SitePages/ManageApplications.aspx?AppNumber=28895-A001
28643-A001,28643,https://www2.auc.ab.ca/Proceeding28643/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28643/SitePages/ManageApplications.aspx?AppNumber=28643-A001
28893-A001,28893,https://www2.auc.ab.ca/Proceeding28893/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28893/SitePages/ManageApplications.aspx?AppNumber=28893-A001
28892-A001,28892,https://www2.auc.ab.ca/Proceeding28892/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28892/SitePages/ManageApplications.aspx?AppNumber=28892-A001
28886-A001,28886,https://www2.auc.ab.ca/Proceeding28886/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28886/SitePages/ManageApplications.aspx?AppNumber=28886-A001
28885-A001,28885,https://www2.auc.ab.ca/Proceeding28885/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28885/SitePages/ManageApplications.aspx?AppNumber=28885-A001
28875-A001,28875,https://www2.auc.ab.ca/Proceeding28875/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28875/SitePages/ManageApplications.aspx?AppNumber=28875-A001
28871-A001,28871,https://www2.auc.ab.ca/Proceeding28871/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28871/SitePages/ManageApplications.aspx?AppNumber=28871-A001
28866-A003,28866,https://www2.auc.ab.ca/Proceeding28866/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28866/SitePages/ManageApplications.aspx?AppNumber=28866-A003
28866-A002,28866,https://www2.auc.ab.ca/Proceeding28866/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28866/SitePages/ManageApplications.aspx?AppNumber=28866-A002
28866-A001,28866,https://www2.auc.ab.ca/Proceeding28866/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28866/SitePages/ManageApplications.aspx?AppNumber=28866-A001
28862-A001,28862,https://www2.auc.ab.ca/Proceeding28862/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28862/SitePages/ManageApplications.aspx?AppNumber=28862-A001
28843-A001,28843,https://www2.auc.ab.ca/Proceeding28843/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28843/SitePages/ManageApplications.aspx?AppNumber=28843-A001
28847-A001,28847,https://www2.auc.ab.ca/Proceeding28847/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28847/SitePages/ManageApplications.aspx?AppNumber=28847-A001
28828-A002,28828,https://www2.auc.ab.ca/Proceeding28828/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28828/SitePages/ManageApplications.aspx?AppNumber=28828-A002
28828-A001,28828,https://www2.auc.ab.ca/Proceeding28828/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28828/SitePages/ManageApplications.aspx?AppNumber=28828-A001
28788-A001,28788,https://www2.auc.ab.ca/Proceeding28788/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28788/SitePages/ManageApplications.aspx?AppNumber=28788-A001
28779-A001,28779,https://www2.auc.ab.ca/Proceeding28779/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28779/SitePages/ManageApplications.aspx?AppNumber=28779-A001
28728-A002,28728,https://www2.auc.ab.ca/Proceeding28728/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28728/SitePages/ManageApplications.aspx?AppNumber=28728-A002
28728-A001,28728,https://www2.auc.ab.ca/Proceeding28728/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28728/SitePages/ManageApplications.aspx?AppNumber=28728-A001
28723-A003,28723,https://www2.auc.ab.ca/Proceeding28723/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28723/SitePages/ManageApplications.aspx?AppNumber=28723-A003
28725-A002,28725,https://www2.auc.ab.ca/Proceeding28725/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28725/SitePages/ManageApplications.aspx?AppNumber=28725-A002
28725-A001,28725,https://www2.auc.ab.ca/Proceeding28725/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28725/SitePages/ManageApplications.aspx?AppNumber=28725-A001
28723-A001,28723,https://www2.auc.ab.ca/Proceeding28723/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28723/SitePages/ManageApplications.aspx?AppNumber=28723-A001
28703-A001,28703,https://www2.auc.ab.ca/Proceeding28703/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28703/SitePages/ManageApplications.aspx?AppNumber=28703-A001
28683-A001,28683,https://www2.auc.ab.ca/Proceeding28683/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28683/SitePages/ManageApplications.aspx?AppNumber=28683-A001
28673-A001,28673,https://www2.auc.ab.ca/Proceeding28673/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28673/SitePages/ManageApplications.aspx?AppNumber=28673-A001
28642-A001,28642,https://www2.auc.ab.ca/Proceeding28642/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28642/SitePages/ManageApplications.aspx?AppNumber=28642-A001
28641-A001,28641,https://www2.auc.ab.ca/Proceeding28641/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28641/SitePages/ManageApplications.aspx?AppNumber=28641-A001
28638-A001,28638,https://www2.auc.ab.ca/Proceeding28638/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28638/SitePages/ManageApplications.aspx?AppNumber=28638-A001
28616-A002,28616,https://www2.auc.ab.ca/Proceeding28616/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28616/SitePages/ManageApplications.aspx?AppNumber=28616-A002
28616-A001,28616,https://www2.auc.ab.ca/Proceeding28616/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28616/SitePages/ManageApplications.aspx?AppNumber=28616-A001
28587-A002,28587,https://www2.auc.ab.ca/Proceeding28587/ProceedingDocuments/Forms/AllItems.aspx,https://www2.auc.ab.ca/Proceeding28587/SitePages/ManageApplications.aspx?AppNumber=28587-A002
